"Date","Calories.Burned","Steps","Distance","Floors","Minutes.Sedentary","Minutes.Lightly.Active","Minutes.Fairly.Active","Minutes.Very.Active","Activity.Calories","Week.Day"
"2014-08-11","1,821","0",0,0,"1,440",0,0,0,"0","Monday"
"2014-08-12","1,821","0",0,0,"1,440",0,0,0,"0","Tuesday"
"2014-08-13","1,821","0",0,0,"1,440",0,0,0,"0","Wednesday"
"2014-08-14","1,820","0",0,0,"1,440",0,0,0,"0","Thursday"
"2014-08-15","1,820","0",0,0,"1,440",0,0,0,"0","Friday"
"2014-08-16","1,822","0",0,0,"1,440",0,0,0,"0","Saturday"
"2014-08-17","1,821","0",0,0,"1,440",0,0,0,"0","Sunday"
"2014-08-18","1,821","0",0,0,"1,440",0,0,0,"0","Monday"
"2014-08-19","1,821","0",0,0,"1,440",0,0,0,"0","Tuesday"
"2014-08-20","1,821","0",0,0,"1,440",0,0,0,"0","Wednesday"
"2014-08-21","1,820","0",0,0,"1,440",0,0,0,"0","Thursday"
"2014-08-22","1,820","0",0,0,"1,440",0,0,0,"0","Friday"
"2014-08-23","1,821","0",0,0,"1,440",0,0,0,"0","Saturday"
"2014-08-24","1,821","0",0,0,"1,440",0,0,0,"0","Sunday"
"2014-08-25","1,821","0",0,0,"1,440",0,0,0,"0","Monday"
"2014-08-26","1,816","0",0,0,"1,440",0,0,0,"0","Tuesday"
"2014-08-27","1,816","0",0,0,"1,440",0,0,0,"0","Wednesday"
"2014-08-28","2,586","7,168",3.24,0,"737",114,76,23,"944","Thursday"
"2014-08-29","2,659","8,703",3.93,0,"1,231",99,70,40,"1,024","Friday"
"2014-08-30","1,817","0",0,0,"1,440",0,0,0,"0","Saturday"
"2014-08-31","4,364","34,240",15.47,0,"893",59,449,39,"3,155","Sunday"
"2014-09-01","1,817","0",0,0,"1,440",0,0,0,"0","Monday"
"2014-09-02","2,654","8,664",3.94,0,"1,230",114,56,40,"1,032","Tuesday"
"2014-09-03","3,077","12,477",5.65,0,"1,111",189,83,57,"1,561","Wednesday"
"2014-09-04","2,738","8,981",4.11,0,"1,218",123,64,35,"1,083","Thursday"
"2014-09-05","3,297","16,823",7.62,0,"1,112",128,113,87,"1,777","Friday"
"2014-09-06","2,809","10,936",4.94,0,"1,213",107,56,64,"1,201","Saturday"
"2014-09-07","1,817","0",0,0,"1,440",0,0,0,"0","Sunday"
"2014-09-08","3,427","19,791",8.94,0,"1,088",104,167,81,"1,977","Monday"
"2014-09-09","3,052","14,235",6.43,0,"1,174",103,80,83,"1,479","Tuesday"
"2014-09-10","2,988","10,897",4.94,0,"1,105",209,88,38,"1,480","Wednesday"
"2014-09-11","2,794","10,250",4.63,0,"1,226",108,48,58,"1,137","Thursday"
"2014-09-12","3,095","14,695",6.85,0,"1,166",103,94,77,"1,546","Friday"
"2014-09-13","2,744","10,349",4.69,0,"1,234",84,71,51,"1,105","Saturday"
"2014-09-14","2,831","10,542",4.76,0,"1,177",127,94,42,"1,257","Sunday"
"2014-09-15","3,518","19,603",8.91,0,"1,067",147,119,107,"2,062","Monday"
"2014-09-16","2,684","10,200",4.61,0,"1,280",49,39,72,"993","Tuesday"
"2014-09-17","3,009","11,175",5.05,0,"1,096",192,123,29,"1,499","Wednesday"
"2014-09-18","3,094","14,574",6.61,0,"1,166",105,93,76,"1,518","Thursday"
"2014-09-19","3,006","11,097",5.01,0,"1,070",211,144,15,"1,551","Friday"
"2014-09-20","2,924","12,173",5.59,0,"1,195",108,72,65,"1,320","Saturday"
"2014-09-21","2,208","2,865",1.29,0,"1,310",91,33,6,"499","Sunday"
"2014-09-22","2,132","2,903",1.31,0,"1,338",59,39,4,"420","Monday"
"2014-09-23","1,815","0",0,0,"1,440",0,0,0,"0","Tuesday"
"2014-09-24","2,989","11,182",5.09,0,"1,111",197,89,43,"1,481","Wednesday"
"2014-09-25","1,817","0",0,0,"1,440",0,0,0,"0","Thursday"
"2014-09-26","1,817","0",0,0,"1,440",0,0,0,"0","Friday"
"2014-09-27","1,816","0",0,0,"1,440",0,0,0,"0","Saturday"
"2014-09-28","2,062","2,173",0.98,0,"1,373",39,21,7,"292","Sunday"
"2014-09-29","3,719","21,435",9.82,0,"1,004",193,132,111,"2,341","Monday"
"2014-09-30","3,099","15,428",7.05,0,"1,206",73,65,96,"1,490","Tuesday"
